id,category,input_text,sentiment_label,summary,generated_reference
247,entertainment,My experience with the Netflix series was annoying.,negative,Negative feedback about Netflix series.,The Netflix series was annoying based on the user's experience.
248,food,My experience with the Vegan meal was mediocre.,neutral,Neutral feedback about Vegan meal.,The Vegan meal was mediocre based on the user's experience.
249,food,My experience with the Burger was awful.,negative,Negative feedback about Burger.,The Burger was awful based on the user's experience.
250,entertainment,My experience with the live concert was normal.,neutral,Neutral feedback about live concert.,The live concert was normal based on the user's experience.
251,customer_service,My experience with the online support was boring.,negative,Negative feedback about online support.,The online support was boring based on the user's experience.
252,food,My experience with the Pasta was fantastic.,positive,Positive feedback about Pasta.,The Pasta was fantastic based on the user's experience.
253,entertainment,My experience with the Netflix series was awesome.,positive,Positive feedback about Netflix series.,The Netflix series was awesome based on the user's experience.
254,food,My experience with the Vegan meal was boring.,negative,Negative feedback about Vegan meal.,The Vegan meal was boring based on the user's experience.
255,food,My experience with the Pasta was satisfying.,positive,Positive feedback about Pasta.,The Pasta was satisfying based on the user's experience.
256,food,My experience with the Pizza was boring.,negative,Negative feedback about Pizza.,The Pizza was boring based on the user's experience.
257,technology,My experience with the self-driving car was not worth it.,negative,Negative feedback about self-driving car.,The self-driving car was not worth it based on the user's experience.
258,technology,My experience with the blockchain technology was enjoyed it.,positive,Positive feedback about blockchain technology.,The blockchain technology was enjoyed it based on the user's experience.
259,technology,My experience with the self-driving car was awesome.,positive,Positive feedback about self-driving car.,The self-driving car was awesome based on the user's experience.
260,entertainment,My experience with the live concert was fine.,neutral,Neutral feedback about live concert.,The live concert was fine based on the user's experience.
261,customer_service,My experience with the call center was loved it.,positive,Positive feedback about call center.,The call center was loved it based on the user's experience.
262,technology,My experience with the quantum computer was fantastic.,positive,Positive feedback about quantum computer.,The quantum computer was fantastic based on the user's experience.
263,technology,My experience with the quantum computer was normal.,neutral,Neutral feedback about quantum computer.,The quantum computer was normal based on the user's experience.
264,customer_service,My experience with the hotel staff was not bad.,neutral,Neutral feedback about hotel staff.,The hotel staff was not bad based on the user's experience.
265,education,My experience with the university program was okay.,neutral,Neutral feedback about university program.,The university program was okay based on the user's experience.
266,customer_service,My experience with the restaurant service was awful.,negative,Negative feedback about restaurant service.,The restaurant service was awful based on the user's experience.
267,healthcare,My experience with the medical app was acceptable.,neutral,Neutral feedback about medical app.,The medical app was acceptable based on the user's experience.
268,customer_service,My experience with the call center was satisfying.,positive,Positive feedback about call center.,The call center was satisfying based on the user's experience.
269,healthcare,My experience with the medical app was superb.,positive,Positive feedback about medical app.,The medical app was superb based on the user's experience.
270,technology,My experience with the quantum computer was mediocre.,neutral,Neutral feedback about quantum computer.,The quantum computer was mediocre based on the user's experience.
271,customer_service,My experience with the online support was awesome.,positive,Positive feedback about online support.,The online support was awesome based on the user's experience.
272,technology,My experience with the self-driving car was superb.,positive,Positive feedback about self-driving car.,The self-driving car was superb based on the user's experience.
273,entertainment,My experience with the Netflix series was superb.,positive,Positive feedback about Netflix series.,The Netflix series was superb based on the user's experience.
274,technology,My experience with the iPhone 15 was amazing.,positive,Positive feedback about iPhone 15.,The iPhone 15 was amazing based on the user's experience.
275,technology,My experience with the iPhone 15 was boring.,negative,Negative feedback about iPhone 15.,The iPhone 15 was boring based on the user's experience.
276,healthcare,My experience with the telemedicine was satisfying.,positive,Positive feedback about telemedicine.,The telemedicine was satisfying based on the user's experience.
277,healthcare,My experience with the telemedicine was not bad.,neutral,Neutral feedback about telemedicine.,The telemedicine was not bad based on the user's experience.
278,entertainment,My experience with the new Marvel movie was fine.,neutral,Neutral feedback about new Marvel movie.,The new Marvel movie was fine based on the user's experience.
279,food,My experience with the Pizza was hated it.,negative,Negative feedback about Pizza.,The Pizza was hated it based on the user's experience.
280,entertainment,My experience with the new Marvel movie was acceptable.,neutral,Neutral feedback about new Marvel movie.,The new Marvel movie was acceptable based on the user's experience.
281,customer_service,My experience with the restaurant service was mediocre.,neutral,Neutral feedback about restaurant service.,The restaurant service was mediocre based on the user's experience.
282,education,My experience with the university program was average.,neutral,Neutral feedback about university program.,The university program was average based on the user's experience.
283,entertainment,My experience with the live concert was hated it.,negative,Negative feedback about live concert.,The live concert was hated it based on the user's experience.
284,technology,My experience with the self-driving car was not bad.,neutral,Neutral feedback about self-driving car.,The self-driving car was not bad based on the user's experience.
285,technology,My experience with the blockchain technology was disappointing.,negative,Negative feedback about blockchain technology.,The blockchain technology was disappointing based on the user's experience.
286,entertainment,My experience with the new Marvel movie was acceptable.,neutral,Neutral feedback about new Marvel movie.,The new Marvel movie was acceptable based on the user's experience.
287,food,My experience with the Pasta was superb.,positive,Positive feedback about Pasta.,The Pasta was superb based on the user's experience.
288,healthcare,My experience with the hospital experience was fine.,neutral,Neutral feedback about hospital experience.,The hospital experience was fine based on the user's experience.
289,education,My experience with the MOOC was enjoyed it.,positive,Positive feedback about MOOC.,The MOOC was enjoyed it based on the user's experience.
290,healthcare,My experience with the telemedicine was superb.,positive,Positive feedback about telemedicine.,The telemedicine was superb based on the user's experience.
291,entertainment,My experience with the video game was superb.,positive,Positive feedback about video game.,The video game was superb based on the user's experience.
292,food,My experience with the Burger was boring.,negative,Negative feedback about Burger.,The Burger was boring based on the user's experience.
293,education,My experience with the coding bootcamp was terrible.,negative,Negative feedback about coding bootcamp.,The coding bootcamp was terrible based on the user's experience.
294,healthcare,My experience with the telemedicine was not worth it.,negative,Negative feedback about telemedicine.,The telemedicine was not worth it based on the user's experience.
295,food,My experience with the Pizza was terrible.,negative,Negative feedback about Pizza.,The Pizza was terrible based on the user's experience.
296,food,My experience with the Vegan meal was decent.,neutral,Neutral feedback about Vegan meal.,The Vegan meal was decent based on the user's experience.
297,customer_service,My experience with the delivery service was normal.,neutral,Neutral feedback about delivery service.,The delivery service was normal based on the user's experience.
298,food,My experience with the Sushi was not bad.,neutral,Neutral feedback about Sushi.,The Sushi was not bad based on the user's experience.
299,food,My experience with the Burger was hated it.,negative,Negative feedback about Burger.,The Burger was hated it based on the user's experience.
300,healthcare,My experience with the hospital experience was fantastic.,positive,Positive feedback about hospital experience.,The hospital experience was fantastic based on the user's experience.
301,technology,My experience with the self-driving car was enjoyed it.,positive,Positive feedback about self-driving car.,The self-driving car was enjoyed it based on the user's experience.
302,entertainment,My experience with the stand-up comedy was enjoyed it.,positive,Positive feedback about stand-up comedy.,The stand-up comedy was enjoyed it based on the user's experience.
303,healthcare,My experience with the fitness tracker was not bad.,neutral,Neutral feedback about fitness tracker.,The fitness tracker was not bad based on the user's experience.
304,food,My experience with the Vegan meal was amazing.,positive,Positive feedback about Vegan meal.,The Vegan meal was amazing based on the user's experience.
305,food,My experience with the Pizza was not worth it.,negative,Negative feedback about Pizza.,The Pizza was not worth it based on the user's experience.
306,entertainment,My experience with the video game was amazing.,positive,Positive feedback about video game.,The video game was amazing based on the user's experience.
307,customer_service,My experience with the delivery service was mediocre.,neutral,Neutral feedback about delivery service.,The delivery service was mediocre based on the user's experience.
308,food,My experience with the Pasta was normal.,neutral,Neutral feedback about Pasta.,The Pasta was normal based on the user's experience.
309,entertainment,My experience with the new Marvel movie was awful.,negative,Negative feedback about new Marvel movie.,The new Marvel movie was awful based on the user's experience.
310,technology,My experience with the iPhone 15 was annoying.,negative,Negative feedback about iPhone 15.,The iPhone 15 was annoying based on the user's experience.
311,education,My experience with the online course was okay.,neutral,Neutral feedback about online course.,The online course was okay based on the user's experience.
312,food,My experience with the Sushi was awesome.,positive,Positive feedback about Sushi.,The Sushi was awesome based on the user's experience.
313,education,My experience with the coding bootcamp was decent.,neutral,Neutral feedback about coding bootcamp.,The coding bootcamp was decent based on the user's experience.
314,food,My experience with the Pizza was fantastic.,positive,Positive feedback about Pizza.,The Pizza was fantastic based on the user's experience.
315,education,My experience with the MOOC was satisfying.,positive,Positive feedback about MOOC.,The MOOC was satisfying based on the user's experience.
316,food,My experience with the Pasta was loved it.,positive,Positive feedback about Pasta.,The Pasta was loved it based on the user's experience.
317,customer_service,My experience with the hotel staff was superb.,positive,Positive feedback about hotel staff.,The hotel staff was superb based on the user's experience.
318,healthcare,My experience with the medical app was great.,positive,Positive feedback about medical app.,The medical app was great based on the user's experience.
319,entertainment,My experience with the video game was awful.,negative,Negative feedback about video game.,The video game was awful based on the user's experience.
320,technology,My experience with the self-driving car was fantastic.,positive,Positive feedback about self-driving car.,The self-driving car was fantastic based on the user's experience.
321,food,My experience with the Vegan meal was satisfying.,positive,Positive feedback about Vegan meal.,The Vegan meal was satisfying based on the user's experience.
322,food,My experience with the Pasta was awesome.,positive,Positive feedback about Pasta.,The Pasta was awesome based on the user's experience.
323,education,My experience with the online course was fantastic.,positive,Positive feedback about online course.,The online course was fantastic based on the user's experience.
324,healthcare,My experience with the telemedicine was boring.,negative,Negative feedback about telemedicine.,The telemedicine was boring based on the user's experience.
325,healthcare,My experience with the hospital experience was fantastic.,positive,Positive feedback about hospital experience.,The hospital experience was fantastic based on the user's experience.
326,technology,My experience with the iPhone 15 was annoying.,negative,Negative feedback about iPhone 15.,The iPhone 15 was annoying based on the user's experience.
327,technology,My experience with the blockchain technology was not bad.,neutral,Neutral feedback about blockchain technology.,The blockchain technology was not bad based on the user's experience.
328,technology,My experience with the AI chatbot was great.,positive,Positive feedback about AI chatbot.,The AI chatbot was great based on the user's experience.
329,education,My experience with the online course was annoying.,negative,Negative feedback about online course.,The online course was annoying based on the user's experience.
330,education,My experience with the coding bootcamp was amazing.,positive,Positive feedback about coding bootcamp.,The coding bootcamp was amazing based on the user's experience.
331,healthcare,My experience with the medical app was bad.,negative,Negative feedback about medical app.,The medical app was bad based on the user's experience.
332,entertainment,My experience with the Netflix series was not bad.,neutral,Neutral feedback about Netflix series.,The Netflix series was not bad based on the user's experience.
333,technology,My experience with the blockchain technology was bad.,negative,Negative feedback about blockchain technology.,The blockchain technology was bad based on the user's experience.
334,healthcare,My experience with the diet plan was mediocre.,neutral,Neutral feedback about diet plan.,The diet plan was mediocre based on the user's experience.
335,technology,My experience with the self-driving car was loved it.,positive,Positive feedback about self-driving car.,The self-driving car was loved it based on the user's experience.
336,education,My experience with the textbook was enjoyed it.,positive,Positive feedback about textbook.,The textbook was enjoyed it based on the user's experience.
337,entertainment,My experience with the new Marvel movie was awesome.,positive,Positive feedback about new Marvel movie.,The new Marvel movie was awesome based on the user's experience.
338,technology,My experience with the self-driving car was hated it.,negative,Negative feedback about self-driving car.,The self-driving car was hated it based on the user's experience.
339,education,My experience with the MOOC was acceptable.,neutral,Neutral feedback about MOOC.,The MOOC was acceptable based on the user's experience.
340,technology,My experience with the blockchain technology was acceptable.,neutral,Neutral feedback about blockchain technology.,The blockchain technology was acceptable based on the user's experience.
341,entertainment,My experience with the live concert was mediocre.,neutral,Neutral feedback about live concert.,The live concert was mediocre based on the user's experience.
342,entertainment,My experience with the live concert was loved it.,positive,Positive feedback about live concert.,The live concert was loved it based on the user's experience.
343,technology,My experience with the AI chatbot was boring.,negative,Negative feedback about AI chatbot.,The AI chatbot was boring based on the user's experience.
344,technology,My experience with the AI chatbot was disappointing.,negative,Negative feedback about AI chatbot.,The AI chatbot was disappointing based on the user's experience.
345,technology,My experience with the iPhone 15 was okay.,neutral,Neutral feedback about iPhone 15.,The iPhone 15 was okay based on the user's experience.
346,entertainment,My experience with the live concert was average.,neutral,Neutral feedback about live concert.,The live concert was average based on the user's experience.
347,healthcare,My experience with the fitness tracker was enjoyed it.,positive,Positive feedback about fitness tracker.,The fitness tracker was enjoyed it based on the user's experience.
348,entertainment,My experience with the stand-up comedy was satisfying.,positive,Positive feedback about stand-up comedy.,The stand-up comedy was satisfying based on the user's experience.
349,technology,My experience with the AI chatbot was amazing.,positive,Positive feedback about AI chatbot.,The AI chatbot was amazing based on the user's experience.
350,entertainment,My experience with the video game was satisfying.,positive,Positive feedback about video game.,The video game was satisfying based on the user's experience.
351,entertainment,My experience with the new Marvel movie was fantastic.,positive,Positive feedback about new Marvel movie.,The new Marvel movie was fantastic based on the user's experience.
352,healthcare,My experience with the telemedicine was bad.,negative,Negative feedback about telemedicine.,The telemedicine was bad based on the user's experience.
353,entertainment,My experience with the video game was mediocre.,neutral,Neutral feedback about video game.,The video game was mediocre based on the user's experience.
354,healthcare,My experience with the diet plan was enjoyed it.,positive,Positive feedback about diet plan.,The diet plan was enjoyed it based on the user's experience.
355,food,My experience with the Pizza was not worth it.,negative,Negative feedback about Pizza.,The Pizza was not worth it based on the user's experience.
356,customer_service,My experience with the delivery service was awesome.,positive,Positive feedback about delivery service.,The delivery service was awesome based on the user's experience.
357,education,My experience with the MOOC was loved it.,positive,Positive feedback about MOOC.,The MOOC was loved it based on the user's experience.
358,entertainment,My experience with the live concert was amazing.,positive,Positive feedback about live concert.,The live concert was amazing based on the user's experience.
359,entertainment,My experience with the new Marvel movie was normal.,neutral,Neutral feedback about new Marvel movie.,The new Marvel movie was normal based on the user's experience.
360,customer_service,My experience with the hotel staff was not worth it.,negative,Negative feedback about hotel staff.,The hotel staff was not worth it based on the user's experience.
361,healthcare,My experience with the telemedicine was mediocre.,neutral,Neutral feedback about telemedicine.,The telemedicine was mediocre based on the user's experience.
362,customer_service,My experience with the call center was disappointing.,negative,Negative feedback about call center.,The call center was disappointing based on the user's experience.
363,education,My experience with the coding bootcamp was normal.,neutral,Neutral feedback about coding bootcamp.,The coding bootcamp was normal based on the user's experience.
364,customer_service,My experience with the hotel staff was fine.,neutral,Neutral feedback about hotel staff.,The hotel staff was fine based on the user's experience.
365,technology,My experience with the self-driving car was okay.,neutral,Neutral feedback about self-driving car.,The self-driving car was okay based on the user's experience.
366,food,My experience with the Sushi was okay.,neutral,Neutral feedback about Sushi.,The Sushi was okay based on the user's experience.
367,customer_service,My experience with the online support was normal.,neutral,Neutral feedback about online support.,The online support was normal based on the user's experience.
368,entertainment,My experience with the video game was superb.,positive,Positive feedback about video game.,The video game was superb based on the user's experience.
369,customer_service,My experience with the call center was hated it.,negative,Negative feedback about call center.,The call center was hated it based on the user's experience.
370,customer_service,My experience with the delivery service was mediocre.,neutral,Neutral feedback about delivery service.,The delivery service was mediocre based on the user's experience.
371,customer_service,My experience with the delivery service was fine.,neutral,Neutral feedback about delivery service.,The delivery service was fine based on the user's experience.
372,entertainment,My experience with the Netflix series was normal.,neutral,Neutral feedback about Netflix series.,The Netflix series was normal based on the user's experience.
373,technology,My experience with the self-driving car was terrible.,negative,Negative feedback about self-driving car.,The self-driving car was terrible based on the user's experience.
374,technology,My experience with the iPhone 15 was boring.,negative,Negative feedback about iPhone 15.,The iPhone 15 was boring based on the user's experience.
375,technology,My experience with the quantum computer was average.,neutral,Neutral feedback about quantum computer.,The quantum computer was average based on the user's experience.
376,education,My experience with the coding bootcamp was normal.,neutral,Neutral feedback about coding bootcamp.,The coding bootcamp was normal based on the user's experience.
377,food,My experience with the Burger was awesome.,positive,Positive feedback about Burger.,The Burger was awesome based on the user's experience.
378,education,My experience with the MOOC was fine.,neutral,Neutral feedback about MOOC.,The MOOC was fine based on the user's experience.
379,technology,My experience with the self-driving car was mediocre.,neutral,Neutral feedback about self-driving car.,The self-driving car was mediocre based on the user's experience.
380,education,My experience with the textbook was fine.,neutral,Neutral feedback about textbook.,The textbook was fine based on the user's experience.
381,technology,My experience with the blockchain technology was normal.,neutral,Neutral feedback about blockchain technology.,The blockchain technology was normal based on the user's experience.
382,entertainment,My experience with the Netflix series was fantastic.,positive,Positive feedback about Netflix series.,The Netflix series was fantastic based on the user's experience.
383,healthcare,My experience with the telemedicine was annoying.,negative,Negative feedback about telemedicine.,The telemedicine was annoying based on the user's experience.
384,healthcare,My experience with the hospital experience was fine.,neutral,Neutral feedback about hospital experience.,The hospital experience was fine based on the user's experience.
385,healthcare,My experience with the medical app was great.,positive,Positive feedback about medical app.,The medical app was great based on the user's experience.
386,healthcare,My experience with the medical app was okay.,neutral,Neutral feedback about medical app.,The medical app was okay based on the user's experience.
387,food,My experience with the Vegan meal was superb.,positive,Positive feedback about Vegan meal.,The Vegan meal was superb based on the user's experience.
388,food,My experience with the Vegan meal was satisfying.,positive,Positive feedback about Vegan meal.,The Vegan meal was satisfying based on the user's experience.
389,food,My experience with the Pasta was annoying.,negative,Negative feedback about Pasta.,The Pasta was annoying based on the user's experience.
390,customer_service,My experience with the hotel staff was amazing.,positive,Positive feedback about hotel staff.,The hotel staff was amazing based on the user's experience.
391,healthcare,My experience with the medical app was hated it.,negative,Negative feedback about medical app.,The medical app was hated it based on the user's experience.
392,food,My experience with the Vegan meal was not worth it.,negative,Negative feedback about Vegan meal.,The Vegan meal was not worth it based on the user's experience.
393,customer_service,My experience with the hotel staff was disappointing.,negative,Negative feedback about hotel staff.,The hotel staff was disappointing based on the user's experience.
394,technology,My experience with the iPhone 15 was not bad.,neutral,Neutral feedback about iPhone 15.,The iPhone 15 was not bad based on the user's experience.
395,customer_service,My experience with the delivery service was disappointing.,negative,Negative feedback about delivery service.,The delivery service was disappointing based on the user's experience.
396,healthcare,My experience with the fitness tracker was decent.,neutral,Neutral feedback about fitness tracker.,The fitness tracker was decent based on the user's experience.
397,healthcare,My experience with the hospital experience was loved it.,positive,Positive feedback about hospital experience.,The hospital experience was loved it based on the user's experience.
398,food,My experience with the Pasta was superb.,positive,Positive feedback about Pasta.,The Pasta was superb based on the user's experience.
399,entertainment,My experience with the stand-up comedy was not worth it.,negative,Negative feedback about stand-up comedy.,The stand-up comedy was not worth it based on the user's experience.
400,entertainment,My experience with the new Marvel movie was great.,positive,Positive feedback about new Marvel movie.,The new Marvel movie was great based on the user's experience.
401,education,My experience with the MOOC was average.,neutral,Neutral feedback about MOOC.,The MOOC was average based on the user's experience.
402,technology,My experience with the self-driving car was mediocre.,neutral,Neutral feedback about self-driving car.,The self-driving car was mediocre based on the user's experience.
403,education,My experience with the textbook was okay.,neutral,Neutral feedback about textbook.,The textbook was okay based on the user's experience.
404,food,My experience with the Sushi was decent.,neutral,Neutral feedback about Sushi.,The Sushi was decent based on the user's experience.
405,healthcare,My experience with the fitness tracker was decent.,neutral,Neutral feedback about fitness tracker.,The fitness tracker was decent based on the user's experience.
406,customer_service,My experience with the call center was awful.,negative,Negative feedback about call center.,The call center was awful based on the user's experience.
407,education,My experience with the coding bootcamp was boring.,negative,Negative feedback about coding bootcamp.,The coding bootcamp was boring based on the user's experience.
408,customer_service,My experience with the hotel staff was bad.,negative,Negative feedback about hotel staff.,The hotel staff was bad based on the user's experience.
409,food,My experience with the Burger was disappointing.,negative,Negative feedback about Burger.,The Burger was disappointing based on the user's experience.
410,customer_service,My experience with the call center was satisfying.,positive,Positive feedback about call center.,The call center was satisfying based on the user's experience.
411,technology,My experience with the blockchain technology was hated it.,negative,Negative feedback about blockchain technology.,The blockchain technology was hated it based on the user's experience.
412,food,My experience with the Pizza was loved it.,positive,Positive feedback about Pizza.,The Pizza was loved it based on the user's experience.
413,education,My experience with the online course was satisfying.,positive,Positive feedback about online course.,The online course was satisfying based on the user's experience.
414,entertainment,My experience with the video game was mediocre.,neutral,Neutral feedback about video game.,The video game was mediocre based on the user's experience.
415,technology,My experience with the AI chatbot was mediocre.,neutral,Neutral feedback about AI chatbot.,The AI chatbot was mediocre based on the user's experience.
416,customer_service,My experience with the restaurant service was normal.,neutral,Neutral feedback about restaurant service.,The restaurant service was normal based on the user's experience.
417,customer_service,My experience with the restaurant service was awful.,negative,Negative feedback about restaurant service.,The restaurant service was awful based on the user's experience.
418,food,My experience with the Pasta was boring.,negative,Negative feedback about Pasta.,The Pasta was boring based on the user's experience.
419,technology,My experience with the iPhone 15 was average.,neutral,Neutral feedback about iPhone 15.,The iPhone 15 was average based on the user's experience.
420,entertainment,My experience with the Netflix series was decent.,neutral,Neutral feedback about Netflix series.,The Netflix series was decent based on the user's experience.
421,technology,My experience with the AI chatbot was enjoyed it.,positive,Positive feedback about AI chatbot.,The AI chatbot was enjoyed it based on the user's experience.
422,healthcare,My experience with the telemedicine was normal.,neutral,Neutral feedback about telemedicine.,The telemedicine was normal based on the user's experience.
423,customer_service,My experience with the restaurant service was not worth it.,negative,Negative feedback about restaurant service.,The restaurant service was not worth it based on the user's experience.
424,healthcare,My experience with the fitness tracker was superb.,positive,Positive feedback about fitness tracker.,The fitness tracker was superb based on the user's experience.
425,technology,My experience with the iPhone 15 was satisfying.,positive,Positive feedback about iPhone 15.,The iPhone 15 was satisfying based on the user's experience.
426,education,My experience with the coding bootcamp was bad.,negative,Negative feedback about coding bootcamp.,The coding bootcamp was bad based on the user's experience.
427,customer_service,My experience with the restaurant service was bad.,negative,Negative feedback about restaurant service.,The restaurant service was bad based on the user's experience.
428,food,My experience with the Pasta was annoying.,negative,Negative feedback about Pasta.,The Pasta was annoying based on the user's experience.
429,entertainment,My experience with the new Marvel movie was normal.,neutral,Neutral feedback about new Marvel movie.,The new Marvel movie was normal based on the user's experience.
430,healthcare,My experience with the fitness tracker was fine.,neutral,Neutral feedback about fitness tracker.,The fitness tracker was fine based on the user's experience.
431,food,My experience with the Pizza was terrible.,negative,Negative feedback about Pizza.,The Pizza was terrible based on the user's experience.
432,food,My experience with the Burger was average.,neutral,Neutral feedback about Burger.,The Burger was average based on the user's experience.
433,technology,My experience with the iPhone 15 was annoying.,negative,Negative feedback about iPhone 15.,The iPhone 15 was annoying based on the user's experience.
434,healthcare,My experience with the diet plan was superb.,positive,Positive feedback about diet plan.,The diet plan was superb based on the user's experience.
435,healthcare,My experience with the medical app was decent.,neutral,Neutral feedback about medical app.,The medical app was decent based on the user's experience.
436,entertainment,My experience with the new Marvel movie was acceptable.,neutral,Neutral feedback about new Marvel movie.,The new Marvel movie was acceptable based on the user's experience.
437,customer_service,My experience with the hotel staff was decent.,neutral,Neutral feedback about hotel staff.,The hotel staff was decent based on the user's experience.
438,education,My experience with the university program was loved it.,positive,Positive feedback about university program.,The university program was loved it based on the user's experience.
439,technology,My experience with the quantum computer was not worth it.,negative,Negative feedback about quantum computer.,The quantum computer was not worth it based on the user's experience.
440,food,My experience with the Pizza was not worth it.,negative,Negative feedback about Pizza.,The Pizza was not worth it based on the user's experience.
441,food,My experience with the Pasta was not bad.,neutral,Neutral feedback about Pasta.,The Pasta was not bad based on the user's experience.
442,food,My experience with the Sushi was superb.,positive,Positive feedback about Sushi.,The Sushi was superb based on the user's experience.
443,healthcare,My experience with the fitness tracker was normal.,neutral,Neutral feedback about fitness tracker.,The fitness tracker was normal based on the user's experience.
444,customer_service,My experience with the call center was okay.,neutral,Neutral feedback about call center.,The call center was okay based on the user's experience.
445,customer_service,My experience with the hotel staff was decent.,neutral,Neutral feedback about hotel staff.,The hotel staff was decent based on the user's experience.
446,healthcare,My experience with the hospital experience was not bad.,neutral,Neutral feedback about hospital experience.,The hospital experience was not bad based on the user's experience.
447,technology,My experience with the iPhone 15 was amazing.,positive,Positive feedback about iPhone 15.,The iPhone 15 was amazing based on the user's experience.
448,entertainment,My experience with the live concert was loved it.,positive,Positive feedback about live concert.,The live concert was loved it based on the user's experience.
449,education,My experience with the university program was terrible.,negative,Negative feedback about university program.,The university program was terrible based on the user's experience.
450,food,My experience with the Vegan meal was boring.,negative,Negative feedback about Vegan meal.,The Vegan meal was boring based on the user's experience.
451,customer_service,My experience with the call center was disappointing.,negative,Negative feedback about call center.,The call center was disappointing based on the user's experience.
452,food,My experience with the Burger was average.,neutral,Neutral feedback about Burger.,The Burger was average based on the user's experience.
453,healthcare,My experience with the fitness tracker was boring.,negative,Negative feedback about fitness tracker.,The fitness tracker was boring based on the user's experience.
454,food,My experience with the Vegan meal was satisfying.,positive,Positive feedback about Vegan meal.,The Vegan meal was satisfying based on the user's experience.
455,technology,My experience with the iPhone 15 was mediocre.,neutral,Neutral feedback about iPhone 15.,The iPhone 15 was mediocre based on the user's experience.
456,healthcare,My experience with the fitness tracker was awful.,negative,Negative feedback about fitness tracker.,The fitness tracker was awful based on the user's experience.
457,food,My experience with the Pasta was normal.,neutral,Neutral feedback about Pasta.,The Pasta was normal based on the user's experience.
458,entertainment,My experience with the new Marvel movie was great.,positive,Positive feedback about new Marvel movie.,The new Marvel movie was great based on the user's experience.
459,healthcare,My experience with the fitness tracker was acceptable.,neutral,Neutral feedback about fitness tracker.,The fitness tracker was acceptable based on the user's experience.
460,food,My experience with the Vegan meal was average.,neutral,Neutral feedback about Vegan meal.,The Vegan meal was average based on the user's experience.
461,entertainment,My experience with the video game was fantastic.,positive,Positive feedback about video game.,The video game was fantastic based on the user's experience.
462,food,My experience with the Vegan meal was great.,positive,Positive feedback about Vegan meal.,The Vegan meal was great based on the user's experience.
463,education,My experience with the MOOC was okay.,neutral,Neutral feedback about MOOC.,The MOOC was okay based on the user's experience.
464,customer_service,My experience with the restaurant service was disappointing.,negative,Negative feedback about restaurant service.,The restaurant service was disappointing based on the user's experience.
465,education,My experience with the textbook was fantastic.,positive,Positive feedback about textbook.,The textbook was fantastic based on the user's experience.
466,entertainment,My experience with the video game was awful.,negative,Negative feedback about video game.,The video game was awful based on the user's experience.
467,healthcare,My experience with the medical app was not worth it.,negative,Negative feedback about medical app.,The medical app was not worth it based on the user's experience.
468,healthcare,My experience with the diet plan was okay.,neutral,Neutral feedback about diet plan.,The diet plan was okay based on the user's experience.
469,healthcare,My experience with the hospital experience was superb.,positive,Positive feedback about hospital experience.,The hospital experience was superb based on the user's experience.
470,education,My experience with the MOOC was bad.,negative,Negative feedback about MOOC.,The MOOC was bad based on the user's experience.
471,food,My experience with the Sushi was acceptable.,neutral,Neutral feedback about Sushi.,The Sushi was acceptable based on the user's experience.
472,technology,My experience with the quantum computer was awful.,negative,Negative feedback about quantum computer.,The quantum computer was awful based on the user's experience.
473,customer_service,My experience with the delivery service was enjoyed it.,positive,Positive feedback about delivery service.,The delivery service was enjoyed it based on the user's experience.
474,customer_service,My experience with the restaurant service was superb.,positive,Positive feedback about restaurant service.,The restaurant service was superb based on the user's experience.
475,customer_service,My experience with the hotel staff was fine.,neutral,Neutral feedback about hotel staff.,The hotel staff was fine based on the user's experience.
476,education,My experience with the MOOC was not worth it.,negative,Negative feedback about MOOC.,The MOOC was not worth it based on the user's experience.
477,education,My experience with the textbook was not bad.,neutral,Neutral feedback about textbook.,The textbook was not bad based on the user's experience.
478,healthcare,My experience with the hospital experience was not bad.,neutral,Neutral feedback about hospital experience.,The hospital experience was not bad based on the user's experience.
479,entertainment,My experience with the video game was fine.,neutral,Neutral feedback about video game.,The video game was fine based on the user's experience.
480,technology,My experience with the iPhone 15 was hated it.,negative,Negative feedback about iPhone 15.,The iPhone 15 was hated it based on the user's experience.
481,food,My experience with the Sushi was disappointing.,negative,Negative feedback about Sushi.,The Sushi was disappointing based on the user's experience.
482,education,My experience with the university program was awesome.,positive,Positive feedback about university program.,The university program was awesome based on the user's experience.
483,technology,My experience with the AI chatbot was boring.,negative,Negative feedback about AI chatbot.,The AI chatbot was boring based on the user's experience.
484,education,My experience with the online course was fine.,neutral,Neutral feedback about online course.,The online course was fine based on the user's experience.
485,food,My experience with the Pasta was enjoyed it.,positive,Positive feedback about Pasta.,The Pasta was enjoyed it based on the user's experience.
486,food,My experience with the Burger was boring.,negative,Negative feedback about Burger.,The Burger was boring based on the user's experience.
487,education,My experience with the MOOC was average.,neutral,Neutral feedback about MOOC.,The MOOC was average based on the user's experience.
488,customer_service,My experience with the delivery service was superb.,positive,Positive feedback about delivery service.,The delivery service was superb based on the user's experience.
489,education,My experience with the MOOC was satisfying.,positive,Positive feedback about MOOC.,The MOOC was satisfying based on the user's experience.
490,education,My experience with the MOOC was not worth it.,negative,Negative feedback about MOOC.,The MOOC was not worth it based on the user's experience.
491,entertainment,My experience with the new Marvel movie was awful.,negative,Negative feedback about new Marvel movie.,The new Marvel movie was awful based on the user's experience.
